player_id,overall_elo,grass_elo
221222,1464.97,1500.0
221242,1464.9,1500.0
223087,1464.82,1500.0
214081,1464.78,1500.0
206175,1464.72,1500.0
203462,1464.21,1415.39
204288,1464.13,1500.0
202580,1464.0,1500.0
221473,1463.84,1500.0
206037,1463.13,1500.0
221109,1462.94,1500.0
215042,1462.93,1381.36
201604,1462.33,1500.01
213530,1462.3,1500.0
214219,1461.74,1500.0
263857,1461.48,1500.0
202628,1461.43,1424.64
203514,1460.92,1491.5
201555,1460.82,1479.4
201397,1460.82,1465.91
202471,1460.7,1500.0
202493,1459.89,1479.38
202662,1459.78,1500.0
215899,1459.64,1481.06
212034,1458.93,1500.0
221911,1458.88,1500.0
206045,1458.59,1500.0
203552,1458.58,1500.0
214863,1457.93,1500.0
202508,1457.76,1500.0
210303,1457.66,1500.0
211329,1457.52,1500.0
220435,1457.31,1500.0
215572,1456.85,1500.0
221799,1456.84,1500.0
202916,1456.65,1514.26
204223,1455.95,1500.0
202479,1455.38,1500.0
201580,1455.3,1500.0
263847,1455.25,1500.0
206124,1455.02,1462.36
206194,1454.92,1500.0
212178,1454.91,1500.0
221232,1454.83,1500.0
214032,1454.77,1500.0
200079,1454.57,1500.0
220722,1454.45,1500.0
211719,1454.41,1500.0
221823,1454.36,1500.0
203288,1454.34,1500.0
223138,1454.17,1500.0
204394,1454.11,1484.81
211756,1454.03,1500.0
214262,1453.94,1481.12
233728,1453.92,1500.0
221073,1453.79,1482.21
211267,1453.78,1500.0
213974,1453.66,1500.0
222390,1453.53,1500.0
215851,1453.5,1500.0
221839,1453.47,1500.0
238064,1453.31,1500.0
215860,1452.77,1500.0
216107,1452.77,1500.0
221809,1452.74,1500.0
201664,1452.73,1500.0
201529,1452.46,1470.41
204431,1452.4,1446.03
221835,1452.33,1500.0
233717,1452.31,1500.0
201605,1452.26,1469.08
238205,1451.77,1500.0
214060,1451.73,1500.0
201567,1451.45,1497.08
201674,1450.89,1500.0
222965,1450.65,1500.0
201535,1449.6,1486.91
201612,1449.46,1500.0
201366,1449.34,1576.27
215018,1449.3,1503.85
211702,1448.34,1431.61
201672,1448.19,1500.0
211269,1447.64,1500.0
202410,1447.28,1500.0
215697,1446.05,1500.0
222661,1445.78,1419.47
202491,1445.57,1505.6
203500,1445.12,1468.4
214694,1444.7,1500.0
221768,1444.02,1480.97
210786,1443.2,1500.0
214935,1442.99,1500.0
204430,1442.83,1496.38
202379,1442.47,1500.0
206417,1442.31,1462.64
201517,1442.16,1492.13
201531,1441.88,1482.7
